fuel,CO,CO2,ETOH,HC,NH3,NMHC,NO,NO2,NOx,PM,PM10,PM2.5,SO2
D,69.7892608064203,22734.3075243747,0,18.2610608311889,0.20203037973223,16.4220642098461,172.915569251555,24.8693762676891,206.351858966299,5.81836939888397,1.94463526216517,1.10692996484671,0.144915649107159
E,433.441266723089,19669.8545359215,3.91179074793242,65.3167066201132,3.3669732740903,64.2081474122747,9.76765323780452,3.72195853756864,13.4934955944188,0.0579414348155856,1.7213734621769,1.00587671093558,0.205962194497667
G,724.008386907444,23875.7767575331,0,101.269782905822,6.87821448640711,103.293593731316,18.927933036146,8.07050364457771,26.9994786866788,0.383772465617093,2.11254850191235,1.21335358005217,0.160019532446122
